period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-06-11T19,177,3187,9988,2267,-2555,84,17400,190
2024-06-11T20,175,2927,9819,2269,-2390,83,17886,267
2024-06-11T21,180,2893,9333,2268,-1358,83,18485,409
2024-06-11T22,180,3199,9782,2267,-797,81,18414,386
2024-06-11T23,180,3376,9875,2267,-260,79,18181,373
2024-06-12T00,183,4030,10566,2268,120,78,17584,389
2024-06-12T01,260,4765,11955,2268,344,76,16474,660
2024-06-12T02,268,5312,13190,2269,354,77,14277,1779
2024-06-12T03,370,6091,14737,2269,2142,75,8599,2711
2024-06-12T04,367,6279,16954,2269,5341,67,2081,3193
2024-06-12T05,338,6170,16847,2268,5475,67,261,3483
2024-06-12T06,221,6126,15011,2265,4758,66,75,3546
2024-06-12T07,177,6068,13555,2265,2118,63,126,3513
2024-06-12T08,179,5720,12230,2266,623,65,153,3316
2024-06-12T09,219,5619,10771,2263,762,66,160,2881
2024-06-12T10,218,5420,10299,2263,365,65,188,2717
2024-06-12T11,178,5296,9399,2264,260,65,191,2635
2024-06-12T12,176,5376,9145,2265,233,64,191,2741
2024-06-12T13,175,5322,9303,2265,354,64,197,2588
2024-06-12T14,178,5118,9226,2266,994,64,576,2165
2024-06-12T15,249,4290,8165,2264,286,64,4787,1850
2024-06-12T16,188,3584,8036,2262,-1333,65,12313,1617
2024-06-12T17,178,2602,9328,2263,-2266,60,15334,1563
2024-06-12T18,174,2615,9930,2263,-2938,37,16655,1715
2024-06-12T19,174,2728,10515,2258,-3403,38,17452,1791
2024-06-12T20,173,2733,10361,2258,-3134,38,17871,1835
2024-06-12T21,175,2740,10608,2259,-3157,38,18790,1981
2024-06-12T22,174,2985,9809,2259,-1756,38,18770,2261
2024-06-12T23,175,3256,8800,2263,-43,38,18469,2651
2024-06-13T00,176,4174,9146,2266,213,38,17837,2902
2024-06-13T01,174,4690,10314,2267,680,38,16880,3142
2024-06-13T02,174,5744,11795,2268,693,38,14461,3249
2024-06-13T03,174,6876,13738,2265,2888,38,8742,3143
2024-06-13T04,174,7088,15075,2260,5534,39,2104,3193
2024-06-13T05,174,6677,15210,2261,5435,39,237,3546
2024-06-13T06,175,6222,13734,2262,4582,39,182,3610
2024-06-13T07,176,5927,12155,2261,2249,38,185,3652
2024-06-13T08,175,5648,11512,2262,623,38,185,3860
2024-06-13T09,175,5405,10574,2263,943,39,185,3738
2024-06-13T10,176,4863,9757,2263,343,40,185,3536
2024-06-13T11,175,4737,8771,2264,332,40,182,3619
2024-06-13T12,175,4701,8420,2266,398,40,187,3795
2024-06-13T13,176,4979,8310,2264,594,39,192,3486
2024-06-13T14,226,4314,8335,2262,1051,40,550,3330
2024-06-13T15,183,4131,7679,2261,413,39,4463,3207
2024-06-13T16,180,3508,7019,2259,-567,39,11667,2798
2024-06-13T17,180,2647,8127,2258,-1372,39,14941,2328
2024-06-13T18,179,2495,9018,2256,-2098,39,16145,1854
2024-06-13T19,178,2447,8804,2258,-2317,39,16998,1417
2024-06-13T20,177,2514,8514,2258,-2052,39,17057,1404
2024-06-13T21,173,2526,8052,2259,-1522,39,17515,1708
2024-06-13T22,173,2808,7602,2259,-1144,39,17205,2751
2024-06-13T23,174,3422,7619,2260,-566,39,17090,2982
2024-06-14T00,177,4090,7363,2263,-252,39,16404,3459
2024-06-14T01,177,4361,8049,2263,76,39,15393,3833
2024-06-14T02,174,5370,9155,2262,550,39,13026,4065
2024-06-14T03,174,6334,10452,2264,2158,39,7503,4432
2024-06-14T04,174,6814,11078,2263,5367,39,1747,4713
2024-06-14T05,178,6361,11290,2261,4830,39,-25,5059
2024-06-14T06,178,6367,9981,2261,3849,39,-39,5313
2024-06-14T07,179,5654,9407,2263,1635,39,-36,5434
2024-06-14T08,179,5253,9025,2265,401,40,-36,5325
2024-06-14T09,178,5132,7945,2264,508,40,-37,5080
2024-06-14T10,175,5027,6710,2263,341,41,-37,4965
2024-06-14T11,177,4862,5459,2264,340,42,-36,4800
2024-06-14T12,176,5230,5486,2266,95,42,-36,4927
2024-06-14T13,178,5404,5614,2265,407,42,-28,4561
2024-06-14T14,178,4451,5665,2266,1268,42,348,4278
2024-06-14T15,179,3885,5418,2267,447,41,4291,3989
2024-06-14T16,177,2743,7127,2266,-1547,42,11713,3572
2024-06-14T17,174,2384,8925,2267,-2677,42,15415,2878
2024-06-14T18,174,2230,9419,2267,-3063,41,16909,2623
2024-06-14T19,174,2343,9728,2265,-3489,41,17535,2457
2024-06-14T20,174,2418,9107,2265,-3114,41,17563,2725
2024-06-14T21,174,2507,8367,2266,-2461,41,17732,2985
2024-06-14T22,173,2629,7508,2265,-1472,41,17824,3420
2024-06-14T23,174,3239,6750,2265,-430,41,17537,3915
2024-06-15T00,174,3809,6583,2267,40,41,16957,4088
2024-06-15T01,174,4201,6757,2267,329,41,16082,4340
2024-06-15T02,173,5599,8027,2268,181,41,13927,4652
2024-06-15T03,173,6527,9649,2269,1866,41,8594,4963
2024-06-15T04,173,7036,10803,2269,5259,41,1967,5362
2024-06-15T05,173,6857,11014,2269,5977,41,2,4934
2024-06-15T06,174,6080,10783,2269,4665,40,-52,4930
2024-06-15T07,175,5818,9808,2267,3042,40,-48,4878
2024-06-15T08,176,5695,9332,2268,849,42,-49,4800
2024-06-15T09,175,5413,7943,2268,1048,42,-48,4654
2024-06-15T10,176,5169,7319,2267,491,42,-47,4415
2024-06-15T11,177,4991,6502,2268,412,42,-46,4109
2024-06-15T12,175,5056,5547,2269,453,42,-47,3952
2024-06-15T13,177,4940,5115,2268,556,42,-41,3895
2024-06-15T14,176,4266,5059,2269,746,42,349,3800
2024-06-15T15,174,3404,4347,2269,-162,40,4534,3627
2024-06-15T16,176,2092,5949,2269,-1991,41,11744,3406
2024-06-15T17,176,1890,7707,2270,-3611,42,14731,3116
2024-06-15T18,175,1237,8431,2271,-3982,41,16382,3163
2024-06-15T19,174,1213,8834,2270,-4431,41,17454,3083
2024-06-15T20,174,1319,8305,2271,-3674,41,17757,3066
2024-06-15T21,174,1394,7652,2271,-3094,41,17839,3286
2024-06-15T22,174,1703,6691,2270,-1757,41,17820,3649
2024-06-15T23,174,1838,5965,2271,-850,41,17609,3787
2024-06-16T00,175,1933,5597,2272,151,41,17230,4056
2024-06-16T01,177,2508,6149,2272,940,40,15751,4317
2024-06-16T02,191,4008,7529,2272,615,41,13326,4654
2024-06-16T03,225,5497,8621,2273,2994,41,8041,4771
2024-06-16T04,230,6352,8960,2273,6511,40,2049,4659
2024-06-16T05,209,6187,8549,2273,6966,38,90,4833
2024-06-16T06,179,5932,8063,2272,5812,39,-56,4896
2024-06-16T07,178,5852,7777,2271,3686,38,-52,4734
2024-06-16T08,174,5486,7119,2272,2007,39,-52,4564
2024-06-16T09,174,5453,6386,2272,1063,39,-51,4656
2024-06-16T10,174,5139,4916,2270,833,39,-51,4698
2024-06-16T11,174,4997,4577,2271,471,39,-52,4537
2024-06-16T12,175,4851,4134,2273,473,40,-52,4260
2024-06-16T13,174,4818,3725,2272,596,40,-43,4214
2024-06-16T14,174,4434,3861,2273,615,40,366,4252
2024-06-16T15,174,3754,4122,2272,-169,38,4581,4225
2024-06-16T16,174,2420,5820,2272,-1660,38,10901,4140
2024-06-16T17,174,1382,7980,2273,-3161,38,14075,3894
2024-06-16T18,174,1166,9206,2274,-4020,38,15285,3713
2024-06-16T19,174,1169,9528,2273,-4444,38,16354,3708
2024-06-16T20,174,1073,9615,2273,-4357,38,16743,3897
2024-06-16T21,174,1152,8464,2272,-3273,38,16985,4334
2024-06-16T22,173,1560,7068,2272,-2054,38,17266,4608
2024-06-16T23,174,1807,6420,2273,-1162,51,17548,4921
2024-06-17T00,174,1862,5528,2274,-13,62,17229,5389
2024-06-17T01,174,2333,5746,2274,112,74,16499,5589
2024-06-17T02,174,4087,5790,2276,433,75,14423,5664
2024-06-17T03,174,6006,5946,2275,1238,84,8983,5694
2024-06-17T04,174,6392,6989,2274,5762,88,2003,5315
2024-06-17T05,174,6359,7264,2275,6700,88,-14,5159
2024-06-17T06,175,6143,6946,2274,5858,88,-54,4945
2024-06-17T07,175,5938,6241,2274,3585,87,-51,4757
2024-06-17T08,175,5691,5862,2275,1802,88,-52,4786
2024-06-17T09,174,5201,5594,2274,1674,89,-50,4472
2024-06-17T10,173,4909,4712,2273,1201,88,-51,4376
2024-06-17T11,173,4867,3972,2274,1231,88,-50,4047
2024-06-17T12,174,4796,4009,2275,807,88,-49,3842
2024-06-17T13,174,4829,4251,2275,869,86,-45,3648
2024-06-17T14,174,4136,4676,2275,1228,88,335,3610
2024-06-17T15,173,3590,4736,2276,868,87,4318,3618
2024-06-17T16,173,2597,5121,2275,-223,87,11499,3435
2024-06-17T17,174,1573,6889,2276,-1584,88,14985,4387
2024-06-17T18,175,1350,8417,2277,-2922,88,16242,4610
2024-06-17T19,175,1239,9486,2274,-4478,87,17195,4738
2024-06-17T20,175,1089,9975,2275,-4911,88,17455,4993
2024-06-17T21,174,1104,10005,2276,-4895,88,17513,5035
2024-06-17T22,173,1106,9084,2276,-3522,88,17099,4928
2024-06-17T23,174,1165,7780,2275,-1657,88,16263,4604
2024-06-18T00,174,1438,6646,2276,-275,88,16006,4254
2024-06-18T01,176,1828,7055,2277,104,87,14722,4354
2024-06-18T02,189,3000,8067,2277,271,88,13351,4377
2024-06-18T03,175,5269,8003,2277,1003,87,8248,4178
2024-06-18T04,174,6137,8081,2278,6091,86,1819,3881
2024-06-18T05,174,6028,8505,2279,6980,85,-20,3658
2024-06-18T06,174,5424,7819,2276,6190,86,-44,3747
2024-06-18T07,174,5383,7355,2275,3978,88,-41,4074
2024-06-18T08,176,4986,6856,2276,1858,87,-41,4563
2024-06-18T09,175,4675,6577,2275,1251,88,-40,4804
2024-06-18T10,177,4371,6104,2276,644,88,-41,4702
2024-06-18T11,177,4210,5574,2275,670,88,-40,4317
2024-06-18T12,177,4433,5929,2275,305,88,-40,3955
2024-06-18T13,178,4523,5826,2277,966,88,-34,3358
2024-06-18T14,179,4015,6076,2275,2357,89,352,2648
2024-06-18T15,176,3786,6755,2275,639,87,4257,2188
2024-06-18T16,176,3079,7463,2277,-1246,89,10982,1852
2024-06-18T17,176,2566,9325,2278,-3131,88,14591,1431
2024-06-18T18,176,2288,9738,2276,-3619,88,16303,1231
2024-06-18T19,176,1779,10556,2276,-4031,88,16979,1019
2024-06-18T20,178,1578,10614,2276,-3882,88,17350,794
2024-06-18T21,176,1667,10428,2276,-3639,88,17942,641
2024-06-18T22,173,1790,8863,2275,-1958,88,17426,649
