Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,Unnamed: 7
2020-05-13,14,10377.237802734375,9744.141159939236,1377.2230741373698,55.89823371887207,21554.500253634982,
2020-05-13,15,10470.77922092014,9870.854881727431,1404.739384358724,55.71751324971517,21802.090859917535,
2020-05-13,16,10574.630674913195,10007.934379340279,1516.4577705891927,61.38372414482964,22160.40648763021,
2020-05-13,17,10845.676284722222,10251.4515625,1699.0054884168837,64.57345965915256,22860.706777886284,
2020-05-13,18,11350.888516710069,10638.254429253473,1983.0778576660157,66.45329074435764,24038.67409206814,
2020-05-13,19,11575.052911241319,10920.525833333333,2257.0791786024306,65.71244366115994,24818.37053656684,
2020-05-13,20,11875.117238498264,11208.619187282986,2450.8895092773437,61.04237257639567,25595.669072265628,
2020-05-13,21,12209.932783203125,11537.631983506944,2460.881933051215,58.74178641849094,26267.189850260416,
2020-05-13,22,11888.960350477431,11119.709379340278,2222.299566786024,54.01097790612115,25284.98179904514,
2020-05-13,23,11188.950390625,10495.816851128473,2059.521793619792,49.26761265648736,23793.557821180555,
2020-05-13,24,10633.64470377604,9822.041118706597,1889.1439053005643,44.922767554389104,22389.754028862848,
2020-05-14,1,10281.299045138889,9258.393707682291,1783.7140521918402,42.262090873718265,21365.66988932292,
2020-05-14,2,9920.005149739583,8828.589131944444,1704.2473030598958,40.46299836900499,20493.305814887153,
2020-05-14,3,9689.87859049479,8556.730831163195,1642.8000028483073,39.57620295630561,19928.98687391493,
2020-05-14,4,9582.538967013888,8459.026603732638,1611.3257629394532,39.876976318359375,19692.769522569444,
2020-05-14,5,9700.759879557292,8552.373199869791,1629.5334882269965,40.6627262963189,19923.33034830729,
2020-05-14,6,10136.419154730902,8916.929680989584,1706.758702392578,42.671424073113336,20802.77990342882,
2020-05-14,7,10576.703205295138,9110.702332899305,1713.630560031467,45.367254401312934,21446.40390625,
2020-05-14,8,10916.311185980903,9170.455435112846,1699.467884657118,46.314497735765244,21832.549002278647,
2020-05-14,9,10969.406015625,9333.332189670138,1695.39247531467,46.77849970075819,22044.90914577908,
2020-05-14,10,10789.721537125408,9337.587268562978,1558.5628299758914,47.105970769757924,21732.987699381512,
2020-05-14,11,10466.746065538195,9344.375221354167,1474.4405718315973,48.43867569393582,21334.00049153646,
2020-05-14,12,10261.250596788195,9508.244621310763,1405.1274829101562,50.87574050479465,21225.515976809216,
2020-05-14,13,10212.309615885417,9675.94634874132,1381.619462483724,55.330721855163574,21325.206187608506,
2020-05-14,14,10166.153415798612,9867.774593098959,1396.3565257432726,56.1121347173055,21486.39665283203,
2020-05-14,15,10055.986819661459,10140.501968315972,1469.239886203342,59.53349722544352,21725.26227050781,
2020-05-14,16,10116.600454644096,10454.071776258681,1601.890977376302,65.42828350067138,22237.99162624783,
